R64,R32,S16,E8,F4,NCG
1Virginia-97.00%,1Virginia-90.60%,1Virginia-60.10%,1Virginia-50.20%,1Virginia-34.90%,1Virginia-20.20%
1Villanova-97.20%,1Villanova-88.40%,1Villanova-74.40%,1Villanova-58.80%,1Villanova-32.00%,1Villanova-15.80%
2Duke-96.30%,2Duke-84.30%,2Duke-48.70%,2Duke-30.10%,2Duke-17.60%,2Duke-9.70%
3Michigan State-94.30%,3Michigan State-83.00%,3Michigan State-41.30%,3Michigan State-28.20%,3Michigan State-16.30%,3Michigan State-8.40%
1Kansas-95.60%,1Kansas-86.60%,1Kansas-74.70%,1Kansas-30.80%,1Kansas-15.10%,1Kansas-8.00%
2North Carolina-96.20%,2North Carolina-86.00%,2North Carolina-56.10%,2North Carolina-34.80%,2North Carolina-15.50%,2North Carolina-6.90%
4Arizona-90.90%,4Arizona-58.40%,4Arizona-22.60%,4Arizona-17.70%,4Arizona-10.80%,4Arizona-4.90%
3Michigan-93.80%,3Michigan-75.20%,3Michigan-32.20%,3Michigan-19.20%,3Michigan-7.90%,3Michigan-3.70%
1Xavier-97.10%,1Xavier-82.10%,1Xavier-48.30%,1Xavier-21.80%,1Xavier-7.90%,1Xavier-3.40%
2Purdue-96.00%,2Purdue-79.00%,2Purdue-58.90%,2Purdue-18.50%,2Purdue-7.10%,2Purdue-3.20%
2Cincinnati-93.30%,2Cincinnati-77.70%,2Cincinnati-52.80%,2Cincinnati-12.50%,2Cincinnati-5.70%,2Cincinnati-2.30%
5Kentucky-80.40%,5Kentucky-34.00%,5Kentucky-12.20%,5Kentucky-8.30%,5Kentucky-4.00%,5Kentucky-2.10%
4Gonzaga-93.00%,4Gonzaga-69.70%,4Gonzaga-34.80%,4Gonzaga-14.40%,4Gonzaga-5.30%,4Gonzaga-2.10%
3Tennessee-91.10%,3Tennessee-64.40%,3Tennessee-27.80%,3Tennessee-5.30%,3Tennessee-2.10%,3Tennessee-0.90%
