R64,R32,S16,E8,F4,NCG
1Arizona-96.8%,1Gonzaga-90.3%,1Gonzaga-78.7%,1Gonzaga-58.4%,1Gonzaga-41.7%,1Gonzaga-27.1%
1Kansas-96.6%,1Arizona-88.9%,1Arizona-67.2%,1Arizona-43.3%,1Arizona-29.8%,1Arizona-13.4%
1Gonzaga-96.5%,1Kansas-87.4%,1Kansas-64.9%,1Kansas-42.7%,1Kansas-19.3%,1Kansas-8.3%
1Baylor-96.2%,2Kentucky-83.2%,2Kentucky-54.6%,2Kentucky-31.9%,2Kentucky-13.0%,2Kentucky-6.9%
2Duke-95.6%,1Baylor-78.6%,1Baylor-53.7%,1Baylor-28.5%,1Baylor-10.5%,2Duke-6.3%
2Kentucky-95.6%,2Auburn-78.1%,2Auburn-52.5%,2Auburn-23.7%,2Auburn-10.4%,1Baylor-5.4%
2Auburn-95.0%,2Duke-77.7%,2Duke-45.9%,3Tennessee-18.9%,2Duke-10.3%,2Auburn-4.3%
2Villanova-94.9%,2Villanova-75.9%,3Tennessee-42.8%,2Villanova-17.4%,3Tennessee-10.0%,3Tennessee-4.2%
3Tennessee-93.7%,3Tennessee-75.4%,2Villanova-41.0%,2Duke-17.2%,2Villanova-9.6%,2Villanova-3.9%
3Purdue-92.5%,3Texas Tech-69.8%,3Texas Tech-36.5%,3Purdue-14.7%,3Purdue-5.3%,3Purdue-2.4%
3Texas Tech-92.2%,4UCLA-66.6%,4UCLA-28.1%,5Iowa-12.2%,3Texas Tech-4.7%,3Texas Tech-2.0%
4UCLA-90.9%,3Purdue-63.3%,3Purdue-27.7%,4UCLA-11.9%,4UCLA-4.2%,4UCLA-2.0%
3Wisconsin-88.4%,3Wisconsin-62.8%,3Wisconsin-27.3%,3Texas Tech-10.5%,5Iowa-4.0%,5Iowa-1.6%
5Iowa-85.6%,5Iowa-60.9%,5Iowa-21.4%,3Wisconsin-9.5%,5Houston-3.8%,5Houston-1.5%
4Illinois-83.4%,4Arkansas-46.4%,5Houston-13.9%,5Houston-7.1%,3Wisconsin-3.4%,3Wisconsin-1.3%
5UConn-80.3%,4Illinois-45.8%,4Illinois-12.2%,4Illinois-5.5%,4Illinois-2.3%,4Illinois-1.0%
