R64,R32,S16,E8,F4,NCG
1Duke-97.70%,1Duke-94.50%,1Duke-87.90%,1Duke-72.60%,1Duke-58.50%,1Duke-41.70%
1North Carolina-97.10%,1North Carolina-92.50%,1North Carolina-77.80%,1North Carolina-57.10%,1North Carolina-35.70%,1North Carolina-14.50%
1Gonzaga-97.20%,1Gonzaga-82.90%,1Gonzaga-63.20%,1Gonzaga-42.40%,1Gonzaga-13.40%,1Gonzaga-7.80%
1Virginia-96.50%,1Virginia-89.70%,1Virginia-74.60%,1Virginia-42.50%,1Virginia-21.40%,1Virginia-6.80%
2Kentucky-96.30%,2Kentucky-84.60%,2Kentucky-63.80%,2Kentucky-21.80%,2Kentucky-13.10%,2Kentucky-5.00%
2Michigan State-95.80%,2Michigan State-82.70%,2Michigan State-64.90%,2Michigan State-15.40%,2Michigan State-9.20%,2Michigan State-4.40%
2Tennessee-95.70%,2Tennessee-81.40%,2Tennessee-58.90%,2Tennessee-31.60%,2Tennessee-12.40%,2Tennessee-4.30%
2Michigan-95.70%,2Michigan-77.70%,2Michigan-56.90%,2Michigan-26.30%,2Michigan-6.50%,2Michigan-3.20%
3Houston-90.90%,3Houston-58.70%,3Houston-18.30%,3Houston-5.70%,3Houston-2.40%,3Houston-0.80%
3Texas Tech-91.70%,3Texas Tech-66.50%,3Texas Tech-23.70%,3Texas Tech-9.40%,3Texas Tech-1.90%,3Texas Tech-0.80%
4Kansas-89.80%,4Kansas-48.90%,4Kansas-8.60%,4Kansas-4.10%,4Kansas-2.00%,4Kansas-0.80%
3LSU-85.00%,3LSU-62.80%,3LSU-19.70%,3LSU-3.60%,3LSU-1.70%,3LSU-0.70%
3Purdue-89.90%,3Purdue-49.90%,3Purdue-16.20%,3Purdue-6.90%,3Purdue-2.10%,3Purdue-0.70%
5Auburn-82.20%,5Auburn-42.40%,5Auburn-8.50%,5Auburn-4.00%,5Auburn-1.80%,5Auburn-0.70%
6Villanova-77.20%,6Villanova-39.70%,6Villanova-14.90%,6Villanova-6.70%,6Villanova-2.10%,6Villanova-0.70%
4Florida St-88.60%,4Florida St-60.60%,4Florida St-19.90%,4Florida St-9.20%,4Florida St-1.60%,4Florida St-0.60%
4Virginia Tech-87.30%,4Virginia Tech-65.70%,4Virginia Tech-6.10%,4Virginia Tech-2.40%,4Virginia Tech-1.00%,4Virginia Tech-0.40%
8Syracuse-68.40%,8Syracuse-12.10%,8Syracuse-5.30%,8Syracuse-2.10%,8Syracuse-0.60%,8Syracuse-0.40%
4Kansas State-81.80%,4Kansas State-45.40%,4Kansas State-9.10%,4Kansas State-3.10%,4Kansas State-0.80%,4Kansas State-0.30%
5Wisconsin-61.20%,5Wisconsin-31.00%,5Wisconsin-7.00%,5Wisconsin-2.40%,5Wisconsin-0.80%,5Wisconsin-0.30%
6Iowa State-71.10%,6Iowa State-29.20%,6Iowa State-8.40%,6Iowa State-2.10%,6Iowa State-0.80%,6Iowa State-0.30%
10Florida-49.60%,10Florida-9.30%,10Florida-4.10%,10Florida-1.20%,10Florida-0.40%,10Florida-0.20%
11Ohio State-28.90%,11Ohio State-9.30%,11Ohio State-2.10%,11Ohio State-0.70%,11Ohio State-0.30%,11Ohio State-0.20%
12Murray State-41.70%,12Murray State-13.90%,12Murray State-3.20%,12Murray State-1.30%,12Murray State-0.40%,12Murray State-0.20%
12Oregon-38.80%,12Oregon-17.80%,12Oregon-3.70%,12Oregon-1.30%,12Oregon-0.40%,12Oregon-0.20%
16Gardner Webb-3.60%,16Gardner Webb-1.70%,16Gardner Webb-1.00%,16Gardner Webb-0.70%,16Gardner Webb-0.30%,16Gardner Webb-0.20%
16Iona-2.90%,16Iona-1.50%,16Iona-0.90%,16Iona-0.60%,16Iona-0.30%,16Iona-0.20%
5Marquette-58.30%,5Marquette-21.90%,5Marquette-5.40%,5Marquette-2.10%,5Marquette-0.50%,5Marquette-0.20%
6Buffalo-80.30%,6Buffalo-26.70%,6Buffalo-7.40%,6Buffalo-2.00%,6Buffalo-0.40%,6Buffalo-0.20%
6Maryland-76.70%,6Maryland-25.20%,6Maryland-5.10%,6Maryland-0.90%,6Maryland-0.40%,6Maryland-0.20%
7Cincinnati-67.20%,7Cincinnati-12.00%,7Cincinnati-5.00%,7Cincinnati-1.70%,7Cincinnati-0.40%,7Cincinnati-0.20%
7Louisville-66.90%,7Louisville-11.60%,7Louisville-5.90%,7Louisville-1.10%,7Louisville-0.50%,7Louisville-0.20%
